HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1078,440,29/8/2017,22:39:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1033,450,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1056,453,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1078,460,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1075,455,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1060,445,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1060,451,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,453,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,457,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,490,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,528,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,638,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,648,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,753,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,787,29/8/2017,22:39:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1350,29/8/2017,22:39:23.89,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,743,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,634,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,636,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3152,606,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3152,583,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3152,592,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3698,588,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3698,541,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3698,526,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3698,524,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3698,543,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,556,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,574,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,550,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,626,29/8/2017,22:39:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,666,29/8/2017,22:39:40.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,682,29/8/2017,22:39:41.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,703,29/8/2017,22:39:42.00,0.000000,0.000000,0.000000
