HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,871,546,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,699,498,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,656,466,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,656,465,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,656,462,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,656,459,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,467,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,463,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,472,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,478,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,466,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,458,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,470,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,489,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,504,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,507,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,512,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,509,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,501,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,496,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,499,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,496,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,484,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,488,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,476,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,476,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,469,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,494,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,528,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,563,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,572,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,563,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,594,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,609,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,608,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,611,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,624,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,628,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,626,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,632,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,665,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
