type,latitude,longitude,altitude (m),name
T,4.722565,-74.05164,2556.1,
T,4.72251,-74.05165,2556,
T,4.722462,-74.05166,2556,
T,4.722417,-74.05166,2556.1,
T,4.722373,-74.05166,2556.2,
T,4.722312,-74.05166,2556.2,
T,4.722263,-74.05167,2556.3,
T,4.722205,-74.05169,2556.4,
T,4.72214,-74.0517,2556.5,
T,4.722093,-74.0517,2556.5,
T,4.72205,-74.05171,2556.6,
T,4.721997,-74.05172,2556.6,
T,4.721942,-74.05173,2556.7,
T,4.721888,-74.05174,2556.8,
T,4.721837,-74.05175,2556.8,
T,4.721787,-74.05176,2556.9,
T,4.721733,-74.05178,2556.9,
T,4.721672,-74.05178,2557,
T,4.721623,-74.05179,2556.9,
T,4.721597,-74.05181,2556.8,
T,4.721553,-74.05181,2556.8,
T,4.7215,-74.05182,2556.6,
T,4.721438,-74.05183,2556.5,
T,4.721392,-74.05184,2556.4,
T,4.721332,-74.05184,2556.3,
T,4.721282,-74.05185,2556.2,
T,4.721228,-74.05186,2556.1,
T,4.721178,-74.05186,2556,
T,4.721128,-74.05187,2555.9,
T,4.721072,-74.05187,2555.7,
T,4.72102,-74.05188,2555.6,
T,4.720973,-74.05189,2555.6,
T,4.720918,-74.05189,2555.4,
T,4.720868,-74.0519,2555.4,
T,4.720815,-74.05191,2555.3,
T,4.720765,-74.05192,2555.3,
T,4.720707,-74.05193,2555.3,
T,4.720657,-74.05194,2555.3,
T,4.720612,-74.05195,2555.3,
T,4.720565,-74.05196,2555.3,
T,4.720513,-74.05197,2555.3,
T,4.720467,-74.05198,2555.3,
T,4.720417,-74.05198,2555.3,
T,4.720377,-74.05199,2555.3,
T,4.720353,-74.052,2555.3,
T,4.72032,-74.052,2555.3,
T,4.720285,-74.052,2555.3,
T,4.720255,-74.05201,2555.2,
T,4.72022,-74.05202,2555.2,
T,4.720168,-74.05203,2555.2,
T,4.720118,-74.05203,2555.2,
T,4.72007,-74.05204,2555.1,
T,4.720018,-74.05206,2555.1,
T,4.719967,-74.05206,2555,
T,4.719917,-74.05208,2554.9,
T,4.71987,-74.05209,2554.8,
T,4.71982,-74.05209,2554.8,
T,4.719777,-74.05209,2554.7,
T,4.719733,-74.05208,2554.7,
T,4.719683,-74.05207,2554.6,
T,4.719627,-74.05207,2554.6,
T,4.719592,-74.05206,2554.5,
T,4.719567,-74.05207,2554.5,
T,4.719542,-74.05208,2554.5,
T,4.7195,-74.05209,2554.4,
T,4.719455,-74.05209,2554.3,
T,4.719405,-74.0521,2554.3,
T,4.719363,-74.05211,2554.2,
T,4.719327,-74.05212,2554.2,
T,4.719303,-74.05214,2554.1,
T,4.719295,-74.05217,2554.1,
T,4.719282,-74.05222,2554.1,
T,4.719272,-74.05225,2554.1,
T,4.719272,-74.05229,2554.1,
T,4.719277,-74.05232,2554.1,
T,4.71928,-74.05235,2554,
T,4.719285,-74.05239,2554,
T,4.71929,-74.05243,2554,
T,4.719295,-74.05247,2554,
T,4.719302,-74.05252,2554,
T,4.719303,-74.05256,2554.1,
T,4.719303,-74.0526,2554.2,
T,4.719287,-74.05263,2554.3,
T,4.71928,-74.05266,2554.4,
T,4.719265,-74.05268,2554.4,
T,4.719235,-74.05269,2554.5,
T,4.719258,-74.0527,2554.5,
T,4.719235,-74.05267,2554.4,
T,4.719238,-74.05264,2554.3,
T,4.71924,-74.05259,2554.2,
T,4.71925,-74.05254,2554.1,
T,4.719257,-74.05249,2554,
T,4.719257,-74.05246,2554,
T,4.719257,-74.05243,2554,
T,4.719253,-74.05242,2554,
T,4.71925,-74.0524,2554,
T,4.719247,-74.05239,2554,
T,4.719238,-74.05237,2554,
T,4.719232,-74.05235,2554,
T,4.719223,-74.05233,2554,
T,4.719217,-74.05232,2554,
T,4.719208,-74.0523,2554,
T,4.719198,-74.05226,2554,
