type,latitude,longitude,altitude (m),name
T,4.719042,-74.05122,2556.1,
T,4.719032,-74.05116,2556.4,
T,4.719022,-74.0511,2556.7,
T,4.719012,-74.05104,2557,
T,4.719002,-74.05097,2557.3,
T,4.718995,-74.05091,2557.6,
T,4.718988,-74.05085,2557.9,
T,4.71899,-74.0508,2557.8,
T,4.719005,-74.05075,2557.6,
T,4.719013,-74.05072,2557.5,
T,4.719015,-74.0507,2557.4,
T,4.719002,-74.05068,2557.3,
T,4.718985,-74.05064,2557.1,
T,4.718968,-74.0506,2556.9,
T,4.718938,-74.05057,2556.8,
T,4.718935,-74.05053,2556.6,
T,4.71893,-74.0505,2556.5,
T,4.718925,-74.05046,2556.3,
T,4.718918,-74.05041,2556.1,
T,4.718913,-74.05036,2555.9,
T,4.718905,-74.05031,2555.7,
T,4.718897,-74.05026,2555.5,
T,4.71889,-74.05022,2555.3,
T,4.718883,-74.05018,2555.1,
T,4.718875,-74.05014,2555,
T,4.718868,-74.05009,2554.8,
T,4.71886,-74.05005,2554.6,
T,4.718853,-74.05001,2554.4,
T,4.718847,-74.04998,2554.4,
T,4.718842,-74.04995,2554.4,
T,4.718842,-74.04992,2554.4,
T,4.71884,-74.04989,2554.3,
T,4.718838,-74.04985,2554.3,
T,4.718835,-74.04982,2554.3,
T,4.718838,-74.04979,2554.3,
T,4.718847,-74.04981,2554.3,
T,4.718842,-74.04982,2554.3,
T,4.718835,-74.04981,2554.3,
T,4.718862,-74.04974,2554.3,
T,4.718862,-74.04971,2554.2,
T,4.718858,-74.04968,2554.2,
T,4.718855,-74.04961,2554.2,
T,4.718845,-74.04958,2554.2,
T,4.71884,-74.04956,2554.2,
T,4.718828,-74.04954,2554.2,
T,4.718818,-74.04951,2554.2,
T,4.718817,-74.04948,2554.2,
T,4.718817,-74.04948,2554.2,
T,4.71881,-74.04946,2554.2,
T,4.718793,-74.04945,2554.2,
T,4.718777,-74.04942,2554.1,
T,4.718748,-74.0494,2554.1,
T,4.718723,-74.04938,2554.1,
T,4.718692,-74.04936,2554.1,
T,4.718675,-74.04935,2554.1,
T,4.718663,-74.04933,2554.1,
T,4.718657,-74.04932,2554.1,
T,4.718648,-74.04929,2554.1,
T,4.718642,-74.04926,2554.1,
T,4.71862,-74.04922,2554,
T,4.718607,-74.04918,2554,
T,4.718597,-74.04914,2554,
T,4.71858,-74.04911,2554.1,
T,4.71858,-74.04909,2554.1,
T,4.718557,-74.04908,2554.1,
T,4.718573,-74.04908,2554.1,
T,4.718617,-74.04908,2554.1,
T,4.71858,-74.04905,2554.2,
T,4.718545,-74.04902,2554.2,
T,4.718525,-74.049,2554.2,
T,4.71852,-74.04898,2554.3,
T,4.718502,-74.04895,2554.3,
T,4.718503,-74.04896,2554.3,
T,4.718525,-74.04892,2554.4,
T,4.718518,-74.04889,2554.4,
T,4.718507,-74.04885,2554.5,
T,4.7185,-74.04882,2554.5,
T,4.718497,-74.04878,2554.6,
T,4.718497,-74.04878,2554.6,
T,4.718482,-74.04873,2554.6,
T,4.718472,-74.04872,2554.6,
T,4.718453,-74.04869,2554.7,
T,4.718432,-74.04867,2554.7,
T,4.718425,-74.04865,2554.7,
T,4.718418,-74.04863,2554.7,
T,4.718407,-74.04861,2554.7,
T,4.718405,-74.0486,2554.7,
T,4.718417,-74.04855,2554.8,
T,4.718415,-74.04853,2554.8,
T,4.718412,-74.0485,2554.9,
T,4.718403,-74.04846,2554.9,
T,4.718387,-74.04843,2554.9,
T,4.71836,-74.0484,2554.9,
T,4.718338,-74.04838,2554.9,
T,4.718323,-74.04835,2555,
T,4.718315,-74.04831,2555,
T,4.718297,-74.04826,2555,
T,4.718287,-74.04821,2555,
T,4.718277,-74.04816,2555.1,
T,4.718255,-74.04812,2555.1,
T,4.718238,-74.04809,2555.1,
T,4.718207,-74.04803,2555.1,
T,4.718197,-74.04796,2555.1,
T,4.718188,-74.0479,2555.1,
T,4.718182,-74.04785,2555.1,
T,4.718173,-74.04782,2555.1,
T,4.718163,-74.04779,2555.1,
T,4.71815,-74.04776,2555.1,
T,4.718135,-74.04772,2555.1,
T,4.718115,-74.04764,2555,
T,4.7181,-74.04761,2555,
T,4.718083,-74.04757,2555,
T,4.71807,-74.04754,2555,
T,4.71804,-74.04744,2554.9,
T,4.718037,-74.04741,2554.9,
T,4.718025,-74.04737,2554.9,
T,4.718005,-74.04732,2554.8,
T,4.717993,-74.04729,2554.8,
T,4.717968,-74.04727,2554.8,
T,4.717928,-74.04727,2554.7,
T,4.717895,-74.04728,2554.7,
T,4.717863,-74.04728,2554.7,
T,4.71784,-74.04725,2554.6,
T,4.717807,-74.04725,2554.6,
T,4.717752,-74.04725,2554.6,
T,4.717712,-74.04727,2554.6,
T,4.71769,-74.04729,2554.6,
T,4.717668,-74.04731,2554.6,
T,4.717643,-74.04732,2554.6,
T,4.717637,-74.04731,2554.6,
T,4.717633,-74.04731,2554.6,
T,4.71762,-74.04726,2554.5,
T,4.717617,-74.04722,2554.4,
T,4.717612,-74.04719,2554.4,
T,4.717603,-74.04715,2554.3,
T,4.717592,-74.04711,2554.2,
T,4.71758,-74.04708,2554.1,
T,4.717562,-74.04704,2554,
T,4.71753,-74.04701,2553.9,
T,4.717495,-74.04699,2553.8,
T,4.717458,-74.04698,2553.8,
T,4.717417,-74.04699,2553.9,
T,4.717367,-74.047,2554,
T,4.717315,-74.04701,2554,
T,4.717252,-74.047,2554.1,
T,4.717202,-74.04701,2554.2,
T,4.717152,-74.04702,2554.2,
T,4.717105,-74.04702,2554.3,
T,4.717057,-74.04703,2554.3,
T,4.717008,-74.04704,2554.3,
T,4.716955,-74.04704,2554.4,
T,4.716902,-74.04705,2554.4,
T,4.716848,-74.04705,2554.5,
T,4.716802,-74.04705,2554.5,
T,4.716743,-74.04706,2554.5,
T,4.716685,-74.04707,2554.5,
T,4.716623,-74.04709,2554.6,
T,4.71656,-74.0471,2554.6,
T,4.716503,-74.04711,2554.7,
T,4.716445,-74.04712,2554.7,
T,4.71639,-74.04713,2554.8,
T,4.716338,-74.04713,2554.9,
T,4.716287,-74.04714,2554.9,
T,4.716232,-74.04715,2554.9,
T,4.71618,-74.04716,2554.9,
T,4.71613,-74.04716,2555,
T,4.716072,-74.04716,2555.1,
T,4.71602,-74.04716,2555.2,
T,4.715965,-74.04716,2555.3,
T,4.715905,-74.04718,2555.2,
T,4.715852,-74.04718,2555.3,
T,4.715803,-74.04719,2555.3,
T,4.715753,-74.0472,2555.4,
T,4.715705,-74.04721,2555.4,
T,4.715655,-74.04722,2555.5,
T,4.715608,-74.04722,2555.6,
T,4.715558,-74.04722,2555.8,
T,4.715512,-74.04722,2555.9,
T,4.715457,-74.04723,2556,
T,4.715402,-74.04724,2556.1,
T,4.71535,-74.04724,2556.2,
T,4.7153,-74.04725,2556.3,
T,4.71525,-74.04726,2556.3,
T,4.715212,-74.04726,2556.4,
T,4.71517,-74.04727,2556.5,
T,4.71512,-74.04728,2556.5,
T,4.715072,-74.04729,2556.6,
T,4.715023,-74.0473,2556.6,
