type,latitude,longitude,altitude (m),name
T,4.665398,-74.05326,2567.2,
T,4.665438,-74.05323,2567.5,
T,4.665472,-74.0532,2567.7,
T,4.665498,-74.05319,2567.8,
T,4.665523,-74.05317,2567.9,
T,4.665538,-74.05317,2568,
T,4.665552,-74.05316,2568.1,
T,4.66555,-74.05316,2568.1,
T,4.665558,-74.05316,2568.1,
T,4.665567,-74.05315,2568.1,
T,4.665577,-74.05315,2568.2,
T,4.665585,-74.05316,2568.2,
T,4.665593,-74.05316,2568.2,
T,4.665593,-74.05316,2568.2,
T,4.665593,-74.05315,2568.2,
T,4.665595,-74.05315,2568.2,
T,4.665702,-74.05294,2568.8,
T,4.66572,-74.05292,2568.9,
T,4.665753,-74.0529,2568.9,
T,4.665787,-74.05287,2569,
T,4.665823,-74.05285,2569,
T,4.665858,-74.05282,2568.9,
T,4.665895,-74.05279,2568.8,
T,4.665923,-74.05276,2568.7,
T,4.665938,-74.05274,2568.6,
T,4.665963,-74.05271,2568.5,
T,4.665988,-74.05266,2568.4,
T,4.666002,-74.0526,2568.4,
T,4.666015,-74.05255,2568.3,
T,4.666043,-74.05249,2568.3,
T,4.666077,-74.05243,2568.2,
T,4.666113,-74.05241,2568.1,
T,4.666158,-74.0524,2568,
T,4.666195,-74.05238,2567.9,
T,4.666228,-74.05235,2567.8,
T,4.666263,-74.05233,2567.8,
T,4.666295,-74.05231,2567.7,
T,4.66633,-74.05229,2567.6,
T,4.666377,-74.05227,2567.5,
T,4.666427,-74.05224,2567.4,
T,4.666465,-74.05222,2567.3,
T,4.666507,-74.05219,2567.2,
T,4.666572,-74.05222,2567,
T,4.666675,-74.05226,2566.5,
T,4.66671,-74.05225,2566.4,
T,4.666745,-74.05223,2566.3,
T,4.666783,-74.05221,2566.2,
T,4.666845,-74.05223,2565.9,
T,4.666885,-74.0522,2565.7,
T,4.666917,-74.05218,2565.6,
T,4.666943,-74.05216,2565.6,
T,4.666957,-74.05214,2565.5,
T,4.666982,-74.05211,2565.4,
T,4.667005,-74.05208,2565.4,
T,4.667038,-74.05204,2565.3,
T,4.667075,-74.05199,2565.2,
T,4.667108,-74.05195,2565,
T,4.667142,-74.05194,2564.9,
T,4.66717,-74.05193,2564.7,
T,4.6672,-74.05191,2564.6,
T,4.667225,-74.05189,2564.5,
T,4.667242,-74.05186,2564.4,
T,4.667273,-74.05184,2564.2,
T,4.667303,-74.0518,2564.1,
T,4.667333,-74.0518,2563.9,
T,4.667358,-74.05183,2563.8,
T,4.667427,-74.05183,2563.4,
T,4.667492,-74.05181,2563,
T,4.667542,-74.05175,2563,
T,4.667588,-74.05171,2563.1,
T,4.667667,-74.0517,2563.2,
T,4.667752,-74.05167,2563.3,
T,4.667827,-74.05162,2563.7,
T,4.667868,-74.0516,2563.9,
T,4.667902,-74.05159,2563.9,
T,4.667935,-74.05159,2564,
T,4.667957,-74.05159,2564,
T,4.667977,-74.0516,2564,
T,4.668002,-74.0516,2564,
T,4.668028,-74.05159,2564.1,
T,4.668055,-74.05158,2564.2,
T,4.66808,-74.05158,2564.2,
T,4.668107,-74.05159,2564.1,
T,4.66814,-74.05158,2564.2,
T,4.66817,-74.05156,2564.4,
T,4.668193,-74.05154,2564.5,
T,4.668243,-74.05153,2564.6,
T,4.6683,-74.05147,2564.9,
T,4.668368,-74.05142,2565.4,
T,4.668435,-74.05138,2566,
T,4.668483,-74.05137,2566.3,
T,4.668522,-74.05135,2566.6,
T,4.668543,-74.05134,2566.7,
T,4.668558,-74.05133,2566.8,
T,4.668578,-74.05131,2567,
T,4.668605,-74.05127,2567.3,
T,4.668628,-74.05126,2567.4,
T,4.668663,-74.05127,2567.5,
T,4.668717,-74.05124,2567.9,
T,4.668753,-74.05121,2568.1,
T,4.668775,-74.05116,2568.2,
T,4.668828,-74.05108,2568.5,
T,4.668868,-74.05107,2568.6,
T,4.668935,-74.05104,2568.8,
T,4.669018,-74.05096,2569,
T,4.669095,-74.05089,2569,
T,4.669125,-74.05084,2569,
T,4.669157,-74.05084,2569,
T,4.669217,-74.05081,2569,
T,4.669285,-74.05075,2569.1,
T,4.669358,-74.05069,2569.2,
T,4.669402,-74.05066,2569.2,
T,4.669435,-74.05064,2569.2,
T,4.669463,-74.05064,2569.1,
T,4.669493,-74.05064,2569,
T,4.669518,-74.05065,2569,
T,4.66955,-74.05063,2568.9,
T,4.66958,-74.05062,2568.9,
T,4.669617,-74.05061,2568.8,
T,4.669668,-74.05056,2568.8,
T,4.669717,-74.05051,2568.7,
T,4.669755,-74.05048,2568.7,
T,4.669788,-74.05045,2568.6,
T,4.669827,-74.05042,2568.5,
T,4.669865,-74.05039,2568.4,
T,4.66991,-74.05036,2568.3,
T,4.66995,-74.05034,2568.2,
T,4.670035,-74.05031,2568.1,
T,4.670123,-74.05028,2568.4,
T,4.670172,-74.05025,2568.6,
T,4.670212,-74.05023,2568.8,
T,4.670252,-74.05022,2569,
T,4.670283,-74.05019,2569.1,
T,4.670312,-74.05019,2569.2,
T,4.670342,-74.05017,2569.4,
T,4.670375,-74.05012,2569.6,
T,4.670415,-74.05008,2569.8,
T,4.670443,-74.05006,2570,
T,4.670473,-74.05004,2570.2,
T,4.670503,-74.05,2570.4,
T,4.670537,-74.04996,2570.4,
T,4.670557,-74.0499,2570.3,
T,4.670567,-74.04986,2570.2,
T,4.670605,-74.0498,2570.1,
T,4.67065,-74.04975,2570.1,
T,4.670692,-74.04969,2570,
T,4.670715,-74.04966,2570,
T,4.670743,-74.04964,2570,
T,4.670783,-74.04962,2570,
T,4.670808,-74.04959,2570,
T,4.670842,-74.04958,2569.9,
T,4.670877,-74.04956,2569.5,
T,4.670912,-74.04955,2569.2,
T,4.670952,-74.04952,2568.8,
T,4.670995,-74.0495,2568.4,
T,4.671037,-74.04947,2567.9,
