type,latitude,longitude,altitude (m),name
T,4.719353,-74.05215,2554.2,
T,4.71933,-74.05219,2554.1,
T,4.71934,-74.05224,2554.1,
T,4.719337,-74.05228,2554.1,
T,4.71932,-74.05232,2554.1,
T,4.719295,-74.05237,2554,
T,4.719275,-74.05242,2554,
T,4.719257,-74.05246,2554,
T,4.719242,-74.0525,2554,
T,4.719233,-74.05254,2554.1,
T,4.719238,-74.05258,2554.2,
T,4.719208,-74.05263,2554.3,
T,4.71919,-74.05267,2554.4,
T,4.719153,-74.05268,2554.4,
T,4.719122,-74.05267,2554.4,
T,4.719097,-74.05264,2554.4,
T,4.71909,-74.0526,2554.3,
T,4.719088,-74.05256,2554.2,
T,4.719082,-74.05251,2554.1,
T,4.719075,-74.05247,2554.1,
T,4.719072,-74.05243,2554.1,
T,4.719072,-74.05239,2554.1,
T,4.719077,-74.05235,2554.1,
T,4.719078,-74.05232,2554.1,
T,4.719078,-74.05229,2554.1,
T,4.719078,-74.05226,2554.1,
T,4.719073,-74.05224,2554.1,
T,4.719067,-74.05222,2554.1,
T,4.719063,-74.05219,2554.1,
T,4.719057,-74.05216,2554.1,
T,4.719045,-74.05213,2554.1,
T,4.71904,-74.05209,2554.1,
T,4.719037,-74.05205,2554.1,
T,4.719033,-74.05201,2554.1,
T,4.719038,-74.05197,2554.1,
T,4.719033,-74.05193,2554.1,
T,4.719032,-74.05189,2554,
T,4.71903,-74.05185,2554,
T,4.719023,-74.0518,2554,
T,4.719018,-74.05176,2554,
T,4.719018,-74.05172,2554,
T,4.719017,-74.05167,2554,
T,4.719008,-74.05162,2554.2,
T,4.719002,-74.05157,2554.5,
T,4.718997,-74.05152,2554.7,
T,4.718992,-74.05147,2554.9,
T,4.718985,-74.05142,2555.2,
T,4.718965,-74.05137,2555.4,
T,4.718952,-74.05131,2555.7,
T,4.718947,-74.05127,2555.9,
T,4.71894,-74.05121,2556.2,
T,4.71894,-74.05116,2556.4,
T,4.718933,-74.05109,2556.8,
T,4.718925,-74.05103,2557.1,
T,4.718913,-74.05096,2557.4,
T,4.718905,-74.0509,2557.7,
T,4.718895,-74.05084,2558,
T,4.718887,-74.05079,2557.8,
T,4.718882,-74.05074,2557.6,
T,4.718897,-74.05071,2557.5,
T,4.718915,-74.05068,2557.3,
T,4.718927,-74.05066,2557.2,
T,4.71892,-74.05065,2557.2,
T,4.718922,-74.05064,2557.1,
T,4.718918,-74.05062,2557.1,
T,4.71889,-74.05059,2556.9,
T,4.718877,-74.05057,2556.8,
T,4.71887,-74.05054,2556.7,
T,4.718865,-74.05051,2556.6,
T,4.718867,-74.05048,2556.5,
T,4.718863,-74.05044,2556.3,
T,4.718857,-74.0504,2556.1,
T,4.718852,-74.05036,2555.9,
T,4.718845,-74.05032,2555.8,
T,4.71883,-74.05028,2555.6,
T,4.718813,-74.05024,2555.5,
T,4.718805,-74.0502,2555.3,
T,4.718795,-74.05016,2555.1,
T,4.718788,-74.05011,2554.9,
T,4.718783,-74.05007,2554.8,
T,4.718787,-74.05004,2554.6,
T,4.718783,-74.05,2554.5,
T,4.718773,-74.04997,2554.5,
T,4.718767,-74.04993,2554.4,
T,4.718782,-74.04994,2554.4,
T,4.718783,-74.04991,2554.4,
T,4.718798,-74.04987,2554.4,
T,4.718815,-74.04984,2554.3,
T,4.718815,-74.0498,2554.3,
T,4.718822,-74.04976,2554.3,
T,4.718848,-74.04974,2554.3,
T,4.718863,-74.0497,2554.2,
T,4.718865,-74.04967,2554.2,
T,4.718863,-74.04965,2554.2,
T,4.718848,-74.04963,2554.2,
T,4.718838,-74.04961,2554.2,
T,4.71883,-74.04959,2554.2,
T,4.718825,-74.04957,2554.2,
T,4.718818,-74.04955,2554.2,
T,4.718807,-74.04953,2554.2,
T,4.718797,-74.04951,2554.2,
T,4.718793,-74.04948,2554.2,
T,4.718782,-74.04946,2554.2,
T,4.718775,-74.04944,2554.2,
T,4.718772,-74.04942,2554.1,
T,4.718765,-74.04941,2554.1,
T,4.718758,-74.04939,2554.1,
T,4.718753,-74.04937,2554.1,
T,4.718747,-74.04935,2554.1,
T,4.718737,-74.04934,2554.1,
T,4.71872,-74.04933,2554.1,
T,4.71871,-74.04928,2554.1,
T,4.718693,-74.04928,2554.1,
T,4.718677,-74.04927,2554.1,
T,4.718667,-74.04923,2554,
T,4.71865,-74.04923,2554,
T,4.718632,-74.04921,2554,
T,4.71862,-74.04918,2554,
T,4.718605,-74.04916,2554,
T,4.718593,-74.04914,2554,
T,4.718583,-74.04911,2554.1,
T,4.718572,-74.04909,2554.1,
T,4.71854,-74.04909,2554.1,
T,4.718523,-74.04909,2554.1,
T,4.71851,-74.04907,2554.1,
T,4.7185,-74.04905,2554.2,
T,4.718477,-74.04906,2554.2,
T,4.718488,-74.04905,2554.2,
T,4.718485,-74.04901,2554.2,
T,4.718493,-74.04899,2554.3,
T,4.718495,-74.04897,2554.3,
T,4.718492,-74.04894,2554.3,
T,4.718465,-74.04889,2554.4,
T,4.718497,-74.04881,2554.5,
T,4.718502,-74.04873,2554.6,
T,4.7185,-74.04867,2554.7,
T,4.71849,-74.04864,2554.8,
T,4.71847,-74.04862,2554.8,
T,4.718452,-74.04859,2554.8,
T,4.718442,-74.04856,2554.8,
T,4.718428,-74.04853,2554.9,
T,4.718415,-74.04851,2554.9,
T,4.718402,-74.04848,2554.9,
T,4.718395,-74.04845,2554.9,
T,4.718378,-74.04843,2554.9,
T,4.718363,-74.0484,2555,
T,4.71834,-74.04838,2555,
T,4.71833,-74.04835,2555,
T,4.71832,-74.04832,2555,
T,4.718308,-74.04829,2555,
T,4.718297,-74.04826,2555,
T,4.718287,-74.04822,2555,
T,4.718283,-74.04818,2555,
T,4.718278,-74.04815,2555.1,
T,4.718275,-74.04812,2555.1,
T,4.71826,-74.04809,2555.1,
T,4.718245,-74.04807,2555.1,
T,4.718228,-74.04804,2555.1,
T,4.718218,-74.04801,2555.1,
T,4.718205,-74.04798,2555.1,
T,4.718192,-74.04795,2555.1,
T,4.718178,-74.04791,2555.1,
T,4.718165,-74.04788,2555.1,
T,4.718155,-74.04785,2555.1,
T,4.718157,-74.04783,2555.1,
T,4.71815,-74.04781,2555.1,
T,4.71814,-74.04778,2555.1,
T,4.718133,-74.04774,2555.1,
T,4.718128,-74.04772,2555.1,
T,4.71812,-74.04769,2555.1,
T,4.718112,-74.04766,2555.1,
T,4.718098,-74.04763,2555,
T,4.718087,-74.04759,2555,
T,4.718075,-74.04756,2555,
T,4.718065,-74.04752,2555,
T,4.718045,-74.04749,2555,
T,4.71803,-74.04746,2555,
T,4.718015,-74.04742,2554.9,
T,4.718005,-74.04739,2554.9,
T,4.718,-74.04735,2554.9,
T,4.717992,-74.04732,2554.8,
T,4.717982,-74.04726,2554.8,
T,4.71799,-74.04722,2554.7,
T,4.71798,-74.04718,2554.7,
T,4.717975,-74.04714,2554.6,
T,4.717957,-74.04711,2554.6,
T,4.717942,-74.04711,2554.6,
T,4.717905,-74.04712,2554.5,
T,4.717863,-74.04712,2554.5,
T,4.71782,-74.04712,2554.4,
T,4.71778,-74.04711,2554.4,
T,4.717733,-74.04711,2554.3,
T,4.717688,-74.04712,2554.3,
T,4.717648,-74.04712,2554.2,
T,4.717605,-74.04712,2554.2,
T,4.717563,-74.04712,2554.2,
T,4.717545,-74.0471,2554.1,
T,4.717537,-74.04708,2554,
T,4.717533,-74.04707,2554,
T,4.717528,-74.04706,2554,
T,4.717527,-74.04706,2554,
T,4.717527,-74.04706,2554,
T,4.717428,-74.04699,2553.9,
T,4.717388,-74.04698,2553.9,
T,4.717337,-74.04699,2554,
T,4.717292,-74.047,2554.1,
T,4.717242,-74.047,2554.1,
T,4.717188,-74.04701,2554.2,
T,4.717133,-74.04702,2554.2,
T,4.717075,-74.04703,2554.3,
T,4.717017,-74.04704,2554.3,
T,4.716957,-74.04704,2554.4,
T,4.716898,-74.04705,2554.4,
T,4.71684,-74.04706,2554.5,
T,4.71678,-74.04706,2554.5,
T,4.71672,-74.04707,2554.5,
T,4.716667,-74.04707,2554.5,
T,4.716605,-74.04708,2554.6,
T,4.716547,-74.04709,2554.7,
T,4.716485,-74.0471,2554.8,
T,4.716427,-74.0471,2554.9,
T,4.716365,-74.04711,2554.9,
T,4.716307,-74.04712,2555,
